timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
467000,442545,6620172,49.917366,14.674885,100726.89,1.2189401
521000,495461,6620172,49.964314,14.675888,100726.31,1.2189353
572000,548600,6620172,49.964314,14.675218,100726.3,1.218936
623000,596800,6620172,49.936146,14.675652,100726.61,1.218938
676000,649357,6620172,49.945534,14.674892,100726.516,1.2189399
728000,703583,6620172,49.945534,14.675991,100726.54,1.2189398
783000,754818,6620172,49.907974,14.676169,100726.97,1.2189405
835000,809636,6620172,49.945534,14.675374,100726.54,1.2189387
887000,861727,6620172,49.973705,14.675808,100726.21,1.2189356
943000,915750,6620172,49.91267,14.675586,100726.93,1.2189403
996000,971538,6620172,49.945534,14.675769,100726.54,1.2189399
1047000,1023230,6620172,49.94084,14.674795,100726.6,1.2189387
1101000,1074750,6620172,49.954926,14.67529,100726.44,1.2189366
1152000,1129416,6620172,49.95962,14.674702,100726.34,1.2189375
1203000,1181125,6620172,49.95962,14.675941,100726.35,1.2189381
1256000,1232000,6620172,49.89389,14.676163,100727.16,1.218943
1308000,1283384,6620172,49.945534,14.675074,100726.54,1.2189361
1360000,1335454,6620172,49.93145,14.676082,100726.72,1.218939
1412000,1386750,6620172,49.922062,14.675612,100726.8,1.2189406
1464000,1440363,6620172,49.95023,14.675106,100726.47,1.2189397
1516000,1495181,6620172,49.922062,14.6760025,100726.8,1.218938
1568000,1542181,6620172,49.9784,14.674904,100726.13,1.2189361
1621000,1595538,6620172,49.926754,14.676207,100726.75,1.218938
1671000,1649818,6620172,49.936146,14.67538,100726.64,1.2189357
1723000,1701250,6620172,49.93145,14.676151,100726.69,1.2189394
1775000,1750909,6620172,49.93145,14.676185,100726.734,1.2189384
1828000,1802000,6620172,49.936146,14.676042,100726.66,1.2189407
1879000,1855384,6620172,49.936146,14.675719,100726.65,1.2189363
1931000,1907909,6620172,49.954926,14.67553,100726.41,1.218938
1983000,1958250,6620172,49.94084,14.676035,100726.58,1.2189361
2036000,2013333,6620172,49.945534,14.675818,100726.516,1.2189375
2093000,2065818,6620172,49.922062,14.675142,100726.81,1.2189382
2143000,2123800,6620172,49.945534,14.675925,100726.52,1.2189357
2196000,2171615,6620172,49.964314,14.674755,100726.305,1.2189327
2248000,2223636,6620172,49.945534,14.675984,100726.51,1.2189367
2299000,2276363,6620172,49.922062,14.675274,100726.81,1.2189386
2351000,2326250,6620172,49.93145,14.6761,100726.68,1.2189367
2403000,2377100,6620172,49.95962,14.675491,100726.38,1.2189351
2453000,2428636,6620172,49.93145,14.675636,100726.69,1.2189372
2503000,2480181,6620172,49.9784,14.675884,100726.15,1.2189343
2556000,2529727,6620172,49.964314,14.674971,100726.33,1.2189351
2608000,2585636,6620172,49.94084,14.6754875,100726.55,1.2189361
2664000,2636818,6620172,49.964314,14.674787,100726.29,1.2189366
2715000,2692000,6620172,49.926754,14.674947,100726.74,1.2189424
2768000,2742818,6620172,49.922062,14.675644,100726.83,1.21894
2823000,2798636,6620172,49.973705,14.674876,100726.23,1.2189353
2876000,2851538,6620172,49.95962,14.675763,100726.36,1.2189332
2931000,2904300,6620172,49.95962,14.675935,100726.38,1.218938
2983000,2958600,6620172,49.926754,14.675966,100726.74,1.2189404
3036000,3011545,6620172,49.936146,14.674842,100726.66,1.2189378
3088000,3065000,6620172,49.95962,14.675461,100726.39,1.2189385
3144000,3115333,6620172,49.95962,14.674897,100726.38,1.2189333
3196000,3173416,6620172,49.95962,14.675203,100726.37,1.2189385
3248000,3225090,6620172,49.922062,14.675095,100726.78,1.2189381
3299000,3276363,6620172,49.936146,14.675561,100726.664,1.2189379
3352000,3327583,6620172,49.917366,14.675981,100726.88,1.2189436
3403000,3381000,6620172,49.94084,14.674998,100726.56,1.2189357
3455000,3431636,6620172,49.926754,14.675925,100726.74,1.2189419
3508000,3486000,6620172,49.95023,14.674715,100726.47,1.2189366
3560000,3534833,6620172,49.945534,14.674906,100726.49,1.2189387
3611000,3586416,6620172,49.945534,14.675314,100726.49,1.2189364
3663000,3638083,6620172,49.936146,14.67515,100726.66,1.218942
3716000,3690166,6620172,49.94084,14.674859,100726.59,1.218941
3768000,3742416,6620172,49.936146,14.674799,100726.63,1.2189372
3821000,3796545,6620172,49.964314,14.675181,100726.305,1.2189342
3873000,3848636,6620172,49.95962,14.675674,100726.36,1.2189335
3923000,3902000,6620172,49.95962,14.675461,100726.39,1.2189373
3975000,3951909,6620172,49.917366,14.675937,100726.86,1.2189416
4031000,4004000,6620172,49.973705,14.675816,100726.21,1.2189342
4081000,4059333,6620172,49.954926,14.675865,100726.44,1.2189395
4133000,4109416,6620172,49.954926,14.674724,100726.414,1.2189361
4183000,4161090,6620172,49.945534,14.676089,100726.54,1.2189406
4237000,4210727,6620172,49.94084,14.674861,100726.6,1.2189369
4287000,4262900,6620172,49.945534,14.675045,100726.52,1.2189375
4340000,4320500,6620172,49.93145,14.675976,100726.72,1.2189422
4392000,4366250,6620172,49.917366,14.674927,100726.85,1.218939
4443000,4419100,6620172,49.917366,14.675565,100726.87,1.2189388
4497000,4471083,6620172,49.94084,14.675708,100726.58,1.2189353
4548000,4525200,6620172,49.922062,14.675433,100726.805,1.2189387
4599000,4575538,6620172,49.95023,14.675052,100726.47,1.2189362
4652000,4626250,6620172,49.917366,14.6754875,100726.86,1.2189437
4704000,4679615,6620172,49.936146,14.675196,100726.62,1.2189418
4756000,4732500,6620172,49.926754,14.675887,100726.74,1.218939
4808000,4784166,6620172,49.926754,14.674708,100726.74,1.2189374
4859000,4836090,6620172,49.9784,14.67519,100726.16,1.2189326
4911000,4886500,6620172,49.9784,14.675227,100726.12,1.218933
4963000,4939416,6620172,49.917366,14.676011,100726.86,1.2189382
5015000,4991538,6620172,49.93145,14.676151,100726.734,1.218943
5068000,5043666,6620172,49.922062,14.674789,100726.78,1.2189375
5119000,5094500,6620172,49.96901,14.675363,100726.24,1.218937
5171000,5147692,6620172,49.94084,14.675258,100726.586,1.2189355
5223000,5199800,6620172,49.954926,14.675257,100726.44,1.2189356
5276000,5252416,6620172,49.93145,14.675399,100726.71,1.2189415
