timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
10383000,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,1,0,0,0,0,1
11107000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
11215000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
11321000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
11833000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
11833000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
11833000,0.0,0.0,2.0,1.0,0.0,0.0,666.0,183,1,0,0,0,0,1
12852000,-1.0,0.0,2.0,3.0,0.046418104,0.023421178,666.0,183,1,0,0,0,0,1
17879000,0.0,0.0,2.0,3.0,0.0,0.0,777.0,183,1,0,0,0,0,1
17899000,0.0,0.0,2.0,6.0,0.0,0.0,666.0,183,1,0,0,0,0,1
37903000,0.0,0.0,2.0,6.0,0.0,0.0,777.0,183,1,0,0,0,0,1
37921000,40.154029846191406,116.25948333740234,0.0,0.0,0.0,0.0,49.835,21,1,0,0,0,0,1
37921000,0.0,0.0,2.0,7.0,0.0,0.0,666.0,183,1,0,0,0,0,1
42932000,0.0,0.0,2.0,7.0,0.0,0.0,777.0,183,1,0,0,0,0,1
