timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
975000,975000,1311004,-0.00234976,-0.014561957,-9.753532,14.6748705,0,0,0,0,1
1967000,1967000,1311004,0.025184276,-0.032439493,-9.856657,14.675559,0,0,0,0,1
2959000,2959000,1311004,0.018950993,0.012058764,-9.780484,14.676133,0,0,0,0,1
3975000,3975000,1311004,-0.0009705602,-0.045680076,-9.785982,14.675439,0,0,0,0,1
4975000,4975000,1311004,-0.00925379,-0.04062656,-9.787062,14.674785,0,0,0,0,1
5971000,5971000,1311004,0.0017929031,0.026639694,-9.761331,14.674781,0,0,0,0,1
6972000,6972000,1311004,0.0030828554,0.0007003978,-9.7975445,14.674819,0,0,0,0,1
7971000,7971000,1311004,-0.009252694,-0.043513484,-9.889954,14.674797,0,0,0,0,1
8967000,8967000,1311004,-0.0019447765,0.0056212954,-9.780565,14.675626,0,0,0,0,1
9972000,9972000,1311004,-0.0012320989,-0.005598806,-9.791099,14.67574,0,0,0,0,1
10967000,10967000,1311004,0.0038399408,-0.005562358,-9.797536,14.67579,0,0,0,0,1
11975000,11975000,1311004,-0.05163372,0.020830382,-9.749945,14.675324,0,0,0,0,1
12972000,12972000,1311004,0.027190858,-0.010322321,-9.821286,14.676219,0,0,0,0,1
13972000,13972000,1311004,0.015182961,0.011167833,-9.784256,14.674998,0,0,0,0,1
14972000,14972000,1311004,-0.03891093,-0.043102395,-10.18728,14.67437,0,0,0,0,1
15972000,15972000,1311004,-0.017368533,0.011249825,-9.754546,14.672977,0,0,0,0,1
16976000,16976000,1311004,0.0033917604,0.0075150197,-9.792643,14.671529,0,0,0,0,1
17972000,17972000,1311004,0.0032478657,-0.011157772,-7.8715897,14.670836,0,0,0,0,1
18968000,18968000,1311004,0.01824852,0.055299062,-9.87673,14.671082,0,0,0,0,1
19972000,19972000,1311004,-0.016131086,0.018431043,-9.779278,14.670664,0,0,0,0,1
20974000,20974000,1311004,0.02092319,0.00988872,-9.727238,14.671603,0,0,0,0,1
21975000,21975000,1311004,-0.0016242614,-0.017406104,-9.865811,14.670693,0,0,0,0,1
22967000,22967000,1311004,-0.01731475,-0.029276386,-9.840696,14.670594,0,0,0,0,1
23967000,23967000,1311004,-0.01830298,0.0095299855,-9.842292,14.670162,0,0,0,0,1
24963000,24963000,1311004,-0.018256314,-0.01582414,-9.752852,14.670152,0,0,0,0,1
25963000,25963000,1311004,0.002473131,-0.006981765,-9.79553,14.670943,0,0,0,0,1
26967000,26967000,1311004,0.009605428,0.020389985,-9.807202,14.671448,0,0,0,0,1
27968000,27968000,1311004,0.025660994,0.01997863,-9.767457,14.670657,0,0,0,0,1
28968000,28968000,1311004,0.0041957186,0.039193828,-9.846977,14.670456,0,0,0,0,1
29975000,29975000,1311004,-0.04273769,0.008354416,-9.739704,14.670674,0,0,0,0,1
30968000,30968000,1311004,-0.026737036,-0.029242976,-9.857701,14.671044,0,0,0,0,1
31971000,31971000,1311004,-0.0039307578,-0.016093135,-9.786993,14.671266,0,0,0,0,1
32976000,32976000,1311004,0.004752968,-0.04576266,-9.813883,14.670715,0,0,0,0,1
33963000,33963000,1311004,0.023293916,-0.009223436,-9.806707,14.67025,0,0,0,0,1
34971000,34971000,1311004,-0.012554818,-0.026175367,-9.756942,14.670294,0,0,0,0,1
35972000,35972000,1311004,0.02851222,-0.00011242399,-9.806644,14.671458,0,0,0,0,1
36972000,36972000,1311004,0.008478303,-0.0131847365,-9.8582325,14.670847,0,0,0,0,1
37968000,37968000,1311004,0.03959525,-0.015810179,-9.810392,14.670508,0,0,0,0,1
38964000,38964000,1311004,-0.013560336,-0.00843931,-10.37326,14.673396,0,0,0,0,1
39964000,39964000,1311004,-0.029490769,-0.025166811,-9.814189,14.675625,0,0,0,0,1
40972000,40972000,1311004,-0.020138,0.0067187455,-9.791402,14.674831,0,0,0,0,1
41968000,41968000,1311004,-0.030687796,0.018629415,-9.868761,14.674901,0,0,0,0,1
42971000,42971000,1311004,-0.036883302,-0.0024943806,-9.796451,14.6755295,0,0,0,0,1
43963000,43963000,1311004,0.0081789605,-0.033168014,-9.818773,14.676011,0,0,0,0,1
